stoppingpoint,effective_question_numbers,is_yesorno,GBS_candidates_left,U_difference,preference_difference,change_top1,rels
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,0,0,2686,0,0.0,1,continue
0.1,0,0,2686,0,0.0,0,continue
0.1,1,1,1444,1242,0.8006845201967241,0,continue
0.1,1,0,1444,0,0.0,0,continue
0.1,1,0,1444,0,0.0,0,continue
0.1,1,0,1444,0,0.0,0,continue
0.1,2,1,611,833,0.4155197293777264,0,continue
0.1,3,1,311,300,0.3098248306408129,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,3,0,311,0,0.0,0,continue
0.1,4,1,237,74,0.28757956628016773,0,continue
0.1,4,0,237,0,0.0,0,continue
0.1,4,0,237,0,0.0,0,continue
0.1,4,0,237,0,0.0,0,continue
0.1,4,0,237,0,0.0,0,continue
0.1,4,0,237,0,0.0,0,continue
0.1,4,0,237,0,0.0,0,continue
0.1,4,0,237,0,0.0,0,continue
0.1,4,0,237,0,0.0,0,continue
0.1,4,0,237,0,0.0,0,continue
0.1,4,0,237,0,0.0,0,continue
0.1,5,1,192,45,0.1584836115203169,0,continue
0.1,5,0,192,0,0.0,0,continue
0.1,6,1,155,37,0.1034945648751079,0,continue
0.1,6,0,155,0,0.0,0,continue
0.1,7,1,126,29,0.064186941627935,0,continue
0.1,7,0,126,0,0.0,0,continue
0.1,7,0,126,0,0.0,0,continue
0.1,7,0,126,0,0.0,0,continue
0.1,8,1,102,24,0.05546098850342906,0,continue
0.1,8,0,102,0,0.0,0,continue
0.1,9,1,84,18,0.03699201265929754,0,continue
0.1,9,0,84,0,0.0,0,continue
0.1,9,0,84,0,0.0,0,continue
0.1,10,1,68,16,0.029409115258205092,0,continue
0.1,10,0,68,0,0.0,0,continue
0.1,10,0,68,0,0.0,0,continue
0.1,10,0,68,0,0.0,0,continue
0.1,10,0,68,0,0.0,0,continue
0.1,10,0,68,0,0.0,0,continue
0.1,11,1,56,12,0.020321481918448153,0,continue
0.1,12,1,45,11,0.020704392082010106,0,continue
0.1,12,0,45,0,0.0,0,continue
0.1,12,0,45,0,0.0,0,continue
0.1,12,0,45,0,0.0,0,continue
0.1,12,0,45,0,0.0,0,continue
0.1,13,1,37,8,0.015655895591906888,0,continue
0.1,13,0,37,0,0.0,0,continue
0.1,13,0,37,0,0.0,0,continue
0.1,13,0,37,0,0.0,0,continue
0.1,13,0,37,0,0.0,0,continue
0.1,13,0,37,0,0.0,0,continue
0.1,13,0,37,0,0.0,0,continue
0.1,13,0,37,0,0.0,0,continue
0.1,14,1,31,6,0.011526811625990393,0,continue
0.1,14,0,31,0,0.0,0,continue
0.1,14,0,31,0,0.0,0,continue
0.1,14,0,31,0,0.0,0,continue
0.1,14,0,31,0,0.0,0,continue
0.1,15,1,26,5,0.01622134724678175,0,continue
0.1,16,1,21,5,0.014068865925308963,0,continue
0.1,16,0,21,0,0.0,0,continue
0.1,17,1,17,4,0.013207853655078738,0,continue
0.1,17,0,17,0,0.0,0,continue
0.1,17,0,17,0,0.0,0,continue
0.1,17,0,17,0,0.0,0,continue
0.1,17,0,17,0,0.0,0,continue
0.1,17,0,17,0,0.0,0,continue
0.1,17,0,17,0,0.0,0,continue
0.1,17,0,17,0,0.0,0,continue
0.1,17,0,17,0,0.0,0,continue
0.1,18,1,14,3,0.012670128293061442,0,continue
0.1,19,1,11,3,0.013756247593820568,0,continue
0.1,20,1,8,3,0.024009165402686845,0,continue
0.1,20,0,8,0,0.0,0,stop
0.1,0,0,1326,0,0.0,1,continue
0.1,0,0,1326,0,0.0,0,continue
0.1,0,0,1326,0,0.0,0,continue
0.1,0,0,1326,0,0.0,0,continue
0.1,0,0,1326,0,0.0,0,continue
0.1,0,0,1326,0,0.0,0,continue
0.1,0,0,1326,0,0.0,0,continue
0.1,0,0,1326,0,0.0,0,continue
0.1,1,1,924,402,0.5501514068618165,0,continue
0.1,1,0,924,0,0.0,0,continue
0.1,1,0,924,0,0.0,0,continue
0.1,1,0,924,0,0.0,0,continue
0.1,2,1,676,248,0.31944383250729985,0,continue
0.1,2,0,676,0,0.0,0,continue
0.1,2,0,676,0,0.0,0,continue
0.1,2,0,676,0,0.0,0,continue
0.1,2,0,676,0,0.0,0,continue
0.1,2,0,676,0,0.0,0,continue
0.1,2,0,676,0,0.0,0,continue
0.1,3,1,530,146,0.1669622419855326,0,continue
0.1,3,0,530,0,0.0,0,continue
0.1,3,0,530,0,0.0,0,continue
0.1,4,1,421,109,0.1089061127527069,0,continue
0.1,4,0,421,0,0.0,0,continue
0.1,4,0,421,0,0.0,0,continue
0.1,4,0,421,0,0.0,0,continue
0.1,5,1,346,75,0.08748899387603296,0,continue
0.1,5,0,346,0,0.0,0,continue
0.1,5,0,346,0,0.0,0,continue
0.1,5,0,346,0,0.0,0,continue
0.1,5,0,346,0,0.0,0,continue
0.1,5,0,346,0,0.0,0,continue
0.1,6,1,295,51,0.06077205275560262,0,continue
0.1,6,0,295,0,0.0,0,continue
0.1,7,1,251,44,0.04097766176981617,0,continue
0.1,7,0,251,0,0.0,0,continue
0.1,7,0,251,0,0.0,0,continue
0.1,7,0,251,0,0.0,0,continue
0.1,7,0,251,0,0.0,0,continue
0.1,7,0,251,0,0.0,0,continue
0.1,8,1,218,33,0.04269401738695546,0,continue
0.1,8,0,218,0,0.0,0,continue
0.1,8,0,218,0,0.0,0,continue
0.1,8,0,218,0,0.0,0,continue
0.1,9,1,192,26,0.031225019476493032,0,continue
0.1,9,0,192,0,0.0,0,continue
0.1,10,1,168,24,0.027168045414186857,0,continue
0.1,10,0,168,0,0.0,0,continue
0.1,11,1,146,22,0.020624444206284252,0,continue
0.1,12,1,128,18,0.017322461621565765,0,continue
0.1,12,0,128,0,0.0,0,continue
0.1,12,0,128,0,0.0,0,continue
0.1,12,0,128,0,0.0,0,continue
0.1,13,1,114,14,0.02688541934650303,0,continue
0.1,14,1,101,13,0.014319699685985253,0,continue
0.1,15,1,89,12,0.012764626912052527,0,continue
0.1,16,1,78,11,0.01003909240551465,0,continue
0.1,16,0,78,0,0.0,0,continue
0.1,16,0,78,0,0.0,0,continue
0.1,16,0,78,0,0.0,0,continue
0.1,16,0,78,0,0.0,0,continue
0.1,17,1,69,9,0.015054618929719776,0,continue
0.1,17,0,69,0,0.0,0,continue
0.1,17,0,69,0,0.0,0,continue
0.1,18,1,61,8,0.010981956220946783,0,continue
0.1,18,0,61,0,0.0,0,continue
0.1,18,0,61,0,0.0,0,continue
0.1,19,1,55,6,0.0056798509305400185,0,continue
0.1,20,1,49,6,0.007166746430740181,0,continue
0.1,21,1,43,6,0.005421700344516594,0,continue
0.1,22,1,38,5,0.013256292450347295,0,continue
0.1,23,1,33,5,0.007609505450480253,0,continue
0.1,23,0,33,0,0.0,0,continue
0.1,23,0,33,0,0.0,0,continue
0.1,23,0,33,0,0.0,0,continue
0.1,23,0,33,0,0.0,0,continue
0.1,23,0,33,0,0.0,0,continue
0.1,23,0,33,0,0.0,0,continue
0.1,24,1,29,4,0.007353718381949025,0,continue
0.1,24,0,29,0,0.0,0,continue
0.1,24,0,29,0,0.0,0,continue
0.1,24,0,29,0,0.0,0,continue
0.1,24,0,29,0,0.0,0,continue
0.1,25,1,26,3,0.006897661777220016,0,continue
0.1,25,0,26,0,0.0,0,continue
0.1,26,1,23,3,0.004568409699240398,0,continue
0.1,27,1,20,3,0.004446631586820322,0,continue
0.1,27,0,20,0,0.0,0,continue
0.1,27,0,20,0,0.0,0,continue
0.1,28,1,17,3,0.005869820294421321,0,continue
0.1,28,0,17,0,0.0,0,continue
0.1,28,0,17,0,0.0,0,continue
0.1,29,1,14,3,0.0041892471700252865,0,continue
0.1,29,0,14,0,0.0,0,stop
0.1,29,0,14,0,0.0,0,stop
0.1,29,0,14,0,0.0,0,stop
0.1,29,0,14,0,0.0,0,stop
0.1,29,0,14,0,0.0,0,stop
0.1,29,0,14,0,0.0,0,stop
0.1,29,0,14,0,0.0,0,stop
0.1,0,0,866,0,0.0,1,continue
0.1,0,0,866,0,0.0,0,continue
0.1,0,0,866,0,0.0,0,continue
0.1,0,0,866,0,0.0,0,continue
0.1,0,0,866,0,0.0,0,continue
0.1,0,0,866,0,0.0,0,continue
0.1,0,0,866,0,0.0,0,continue
0.1,0,0,866,0,0.0,0,continue
0.1,0,0,866,0,0.0,0,continue
0.1,0,0,866,0,0.0,0,continue
0.1,0,0,866,0,0.0,0,continue
0.1,1,1,610,256,0.39156264987378087,0,continue
0.1,1,0,610,0,0.0,0,continue
0.1,1,0,610,0,0.0,0,continue
0.1,1,0,610,0,0.0,0,continue
0.1,1,0,610,0,0.0,0,continue
0.1,1,0,610,0,0.0,0,continue
0.1,1,0,610,0,0.0,0,continue
0.1,1,0,610,0,0.0,0,continue
0.1,1,0,610,0,0.0,0,continue
0.1,1,0,610,0,0.0,0,continue
0.1,1,0,610,0,0.0,0,continue
0.1,1,0,610,0,0.0,0,continue
0.1,1,0,610,0,0.0,0,continue
0.1,1,0,610,0,0.0,0,continue
0.1,1,0,610,0,0.0,0,continue
0.1,1,0,610,0,0.0,0,continue
0.1,1,0,610,0,0.0,0,continue
0.1,1,0,610,0,0.0,0,continue
0.1,1,0,610,0,0.0,0,continue
0.1,1,0,610,0,0.0,0,continue
0.1,1,0,610,0,0.0,0,continue
0.1,1,0,610,0,0.0,0,continue
0.1,1,0,610,0,0.0,0,continue
0.1,1,0,610,0,0.0,0,continue
0.1,1,0,610,0,0.0,0,continue
0.1,2,1,505,105,0.2068876258302155,0,continue
0.1,2,0,505,0,0.0,0,continue
0.1,2,0,505,0,0.0,0,continue
0.1,2,0,505,0,0.0,0,continue
0.1,2,0,505,0,0.0,0,continue
0.1,2,0,505,0,0.0,0,continue
0.1,2,0,505,0,0.0,0,continue
0.1,2,0,505,0,0.0,0,continue
0.1,2,0,505,0,0.0,0,continue
0.1,2,0,505,0,0.0,0,continue
0.1,2,0,505,0,0.0,0,continue
0.1,2,0,505,0,0.0,0,continue
0.1,2,0,505,0,0.0,0,continue
0.1,2,0,505,0,0.0,0,continue
0.1,2,0,505,0,0.0,0,continue
0.1,2,0,505,0,0.0,0,continue
0.1,3,1,436,69,0.1108210767933565,0,continue
0.1,3,0,436,0,0.0,0,continue
0.1,3,0,436,0,0.0,0,continue
0.1,3,0,436,0,0.0,0,continue
0.1,4,1,376,60,0.07390760269857292,0,continue
0.1,4,0,376,0,0.0,0,continue
0.1,4,0,376,0,0.0,0,continue
0.1,4,0,376,0,0.0,0,continue
0.1,5,1,329,47,0.055135802764167276,0,continue
0.1,5,0,329,0,0.0,0,continue
0.1,6,1,288,41,0.04455304221276845,0,continue
0.1,6,0,288,0,0.0,0,continue
0.1,6,0,288,0,0.0,0,continue
0.1,7,1,252,36,0.0324069769235603,0,continue
0.1,7,0,252,0,0.0,0,continue
0.1,7,0,252,0,0.0,0,continue
0.1,7,0,252,0,0.0,0,continue
0.1,7,0,252,0,0.0,0,continue
0.1,7,0,252,0,0.0,0,continue
0.1,7,0,252,0,0.0,0,continue
0.1,7,0,252,0,0.0,0,continue
0.1,7,0,252,0,0.0,0,continue
0.1,7,0,252,0,0.0,0,continue
0.1,8,1,225,27,0.030257220808763776,0,continue
0.1,9,1,199,26,0.026635891420944278,0,continue
0.1,9,0,199,0,0.0,0,continue
0.1,10,1,177,22,0.018823062265851835,0,continue
0.1,10,0,177,0,0.0,0,continue
0.1,10,0,177,0,0.0,0,continue
0.1,10,0,177,0,0.0,0,continue
0.1,10,0,177,0,0.0,0,continue
0.1,10,0,177,0,0.0,0,continue
0.1,10,0,177,0,0.0,0,continue
0.1,10,0,177,0,0.0,0,continue
0.1,10,0,177,0,0.0,0,continue
0.1,10,0,177,0,0.0,0,continue
0.1,10,0,177,0,0.0,0,continue
0.1,10,0,177,0,0.0,0,continue
0.1,10,0,177,0,0.0,0,continue
0.1,10,0,177,0,0.0,0,continue
0.1,10,0,177,0,0.0,0,continue
0.1,11,1,161,16,0.0183844219943421,0,continue
0.1,11,0,161,0,0.0,0,continue
0.1,11,0,161,0,0.0,0,continue
0.1,11,0,161,0,0.0,0,continue
0.1,12,1,146,15,0.013709828524897043,0,continue
0.1,12,0,146,0,0.0,0,stop
0.1,12,0,146,0,0.0,0,stop
0.1,1,1,690,643,0.8359943374199296,1,continue
0.1,2,1,352,338,0.4777202220780771,1,continue
0.1,3,1,182,170,0.2939955420774838,0,continue
0.1,4,1,84,98,0.20796900883499145,0,continue
0.1,5,1,48,36,0.1964714383776655,1,continue
0.1,6,1,26,22,0.136550375218734,1,continue
0.1,7,1,13,13,0.15472335594379708,1,continue
0.1,8,1,6,7,0.1146069252862867,0,continue
0.1,9,1,3,3,0.10443023628357914,1,continue
0.1,10,1,1,2,0.092705305626727,0,stop
0.1,11,1,1,0,0.03575517517681607,0,stop
0.1,12,1,1,0,0.025998286691780528,0,stop
0.1,13,1,1,0,0.03396248157661892,0,stop
0.1,14,1,1,0,0.01619650839193074,0,stop
0.1,15,1,1,0,0.03252361677517105,0,stop
0.1,16,1,1,0,0.013101336417549096,0,stop
0.1,17,1,1,0,0.010297331748290532,0,stop
0.1,18,1,1,0,0.0126196418786158,0,stop
0.1,19,1,1,0,0.01131477186865428,0,stop
0.1,20,1,1,0,0.008008517831862991,0,stop
0.1,21,1,1,0,0.007692384046272525,0,stop
0.1,22,1,1,0,0.029974439780512625,0,stop
0.1,23,1,1,0,0.009150573130047267,0,stop
0.1,24,1,1,0,0.005427612840349773,0,stop
0.1,25,1,1,0,0.004997929564601383,0,stop
0.1,26,1,1,0,0.004521196759471791,0,stop
0.1,27,1,1,0,0.004210091242682179,0,stop
0.1,28,1,1,0,0.00366144715843149,0,stop
0.1,29,1,1,0,0.012319707856433732,0,stop
0.1,30,1,1,0,0.002964045272123587,0,stop
0.1,31,1,1,0,0.002711241084900928,0,stop
0.1,32,1,1,0,0.009524263303462482,0,stop
0.1,33,1,1,0,0.01584395319986902,0,stop
0.1,34,1,1,0,0.00397580089984775,0,stop
0.1,35,1,1,0,0.006950297571440239,0,stop
0.1,36,1,1,0,0.0032637425898037354,0,stop
0.1,37,1,1,0,0.011835713012643311,0,stop
0.1,38,1,1,0,0.009185908494952835,0,stop
0.1,39,1,1,0,0.005015783171721764,0,stop
0.1,40,1,1,0,0.005045046331649672,0,stop
0.1,41,1,1,0,0.0021375117724861947,0,stop
0.1,42,1,1,0,0.0031575678259285153,0,stop
0.1,43,1,1,0,0.009442497758967147,0,stop
0.1,44,1,1,0,0.010412181458734696,0,stop
0.1,45,1,1,0,0.015232395479244008,0,stop
0.1,46,1,1,0,0.0018862353103131098,0,stop
0.1,47,1,1,0,0.003115313127772144,0,stop
0.1,48,1,1,0,0.011556289254897836,0,stop
0.1,49,1,1,0,0.0037208320609828705,0,stop
0.1,50,1,1,0,0.011982376280327056,0,stop
0.1,51,1,1,0,0.007746656056412709,0,stop
0.1,52,1,1,0,0.013200947311152482,0,stop
0.1,53,1,1,0,0.0022250605647876516,0,stop
0.1,54,1,1,0,0.00406090581075739,0,stop
0.1,55,1,1,0,0.0013085721290354369,0,stop
0.1,56,1,1,0,0.0019110727267980633,0,stop
0.1,57,1,1,0,0.001301234545535707,0,stop
0.1,58,1,1,0,0.0018748787848606803,0,stop
0.1,59,1,1,0,0.001969621604918809,0,stop
0.1,60,1,1,0,0.001655257441540527,0,stop
0.1,61,1,1,0,0.0012624753399518049,0,stop
0.1,62,1,1,0,0.0012523975439161822,0,stop
0.1,63,1,1,0,9.085328045710921E-4,0,stop
0.1,64,1,1,0,8.711938335940904E-4,0,stop
0.1,65,1,1,0,0.007356741099770214,0,stop
0.1,66,1,1,0,0.0010142635485824005,0,stop
0.1,67,1,1,0,0.007810478984552969,0,stop
0.1,68,1,1,0,0.004057177113051873,0,stop
0.1,69,1,1,0,0.004813496615718385,0,stop
0.1,70,1,1,0,0.001564137652501369,0,stop
0.1,71,1,1,0,0.003853950589941095,0,stop
0.1,72,1,1,0,0.0019669033488547813,0,stop
0.1,73,1,1,0,8.856658829483688E-4,0,stop
0.1,74,1,1,0,0.0014729422694977467,0,stop
0.1,75,1,1,0,0.0012028769606078657,0,stop
0.1,76,1,1,0,8.513362008207541E-4,0,stop
0.1,77,1,1,0,9.048444281081901E-4,0,stop
0.1,78,1,1,0,0.001241044219757808,0,stop
0.1,79,1,1,0,5.964683709448453E-4,0,stop
0.1,80,1,1,0,5.679839486747469E-4,0,stop
0.1,81,1,1,0,5.903857451713843E-4,0,stop
0.1,82,1,1,0,0.0010111498061232361,0,stop
0.1,83,1,1,0,5.592175381123754E-4,0,stop
0.1,84,1,1,0,5.438155831079978E-4,0,stop
0.1,85,1,1,0,5.278051421973578E-4,0,stop
0.1,86,1,1,0,4.7762909726598436E-4,0,stop
0.1,87,1,1,0,0.001701830935916025,0,stop
0.1,88,1,1,0,0.0033517642952284837,0,stop
0.1,89,1,1,0,0.0033305814685015674,0,stop
0.1,90,1,1,0,4.4162129246833097E-4,0,stop
0.1,91,1,1,0,4.7856040207276495E-4,0,stop
0.1,92,1,1,0,4.1827076781158194E-4,0,stop
0.1,93,1,1,0,6.329834180589205E-4,0,stop
0.1,94,1,1,0,4.068258531727783E-4,0,stop
0.1,95,1,1,0,3.8677388845461427E-4,0,stop
0.1,96,1,1,0,0.0017583451488889848,0,stop
0.1,97,1,1,0,3.695388702626053E-4,0,stop
0.1,98,1,1,0,6.693090866744534E-4,0,stop
0.1,99,1,1,0,4.7305161281912893E-4,0,stop
0.1,100,1,1,0,7.185546452880118E-4,0,stop
0.1,1,1,141,134,0.8117170567685851,1,continue
0.1,2,1,68,73,0.46843322723921005,0,continue
0.1,3,1,37,31,0.2914539138693413,1,continue
0.1,4,1,16,21,0.21259890509605733,0,continue
0.1,5,1,8,8,0.18667280917681411,1,continue
0.1,6,1,4,4,0.13206980308771973,0,stop
0.1,7,1,2,2,0.08624267248703964,0,stop
0.1,8,1,1,1,0.08793473753136137,0,stop
